Etappe;Stadt;Betrieb;bett+bike;albcard.de;;Straße;Telefon;Website;"Entfernung zum Weglänger als 500m kmHm";
1;Aalen;H+ Hotel Limes Thermen Aalen;X;;;Osterbucher Platz 1;07361 9440;h-hotels.com;direkt;
1;Aalen;City Hotel Antik;;;;Stuttgarter Straße 45 - 47;07361 57160;hotel-antik.de;direkt;
1;Aalen;MAXX Hotel Aalen;X;X;;Hugo-Therer-Str. 6;07361 97340;maxxhotel.com;direkt;
1;Aalen;Aalener Ratshotel;;;;Friedrichstr. 7;07361 95840;aalener-ratshotel.de;direkt;
1;Aalen;Design Lifestyle Hotel Estilo;;;;Gartenstr. 30;07361  780780;shotels.de;direkt;
1;Aalen - Unterkochen;Landgasthof Läuterhäusle;X;;;Waldhäuser Str.109;07361  98890;laeuterhaeusle.de;5,2 km;53 Hm
1;Aalen - Wasseralfingen;Hotel Wilder Mann;X;;;Karlstr. 2-4;07361 71366;wildermann-aalen.de;2,6 km;23 Hm
1;Aalen - Wasseralfingen;Gasthof Goldener Stern;;;;Wilhelmstr.38;07361  71715;gasthof-goldener-stern.de;3,2 km;13 Hm
1;Essingen-Lauterburg;Campingplatz Hirtenteich;;;X;Hasenweide 2;07365 296;hirtenteich.camp;direkt;
1;Heubach;Jägerhaus mit Fremdenzimmer;;;;Bartholomäerstr.41;07361 6907;jaegerhaus-heubach.de;1,1 km;2 Hm
1;Degenfeld;Franz-Keller-Haus (WH des SAV);;;;Kaltes Feld;0160 99 21 99 38;(Karin Adolf);direkt;
1;Degenfeld;Skihütte Degenfeld;;;;;07171 81388;skiclub-degenfeld.de;direkt;
1;Lauterstein;Hotel Garni Silberdistel;;;;Kreuzbergstraße 32;07332 3732;hotel-garni-silberdistel.de;direkt;
1;Steinenkirch;Landgasthof Rössle;;X;;Albstraße 9;07332 923900;roessle.steinenkirch.de;1,5 km;144 Hm
1;Geislingen an der Steige.;Hotel und Restaurant Krone;;;;Stuttgarter Str. 148;07331 30560;Hotel-krone-geislingen.de;2,2 km;4 Hm
1;Geislingen an der Steige;5 Täler Camping Längental;;;X;Längental 1;0163 1531267;5taelercamping.de;direkt;
2;Donzdorf;Kuchalber Hof;;;;Kuchalb 10;07162 940940;kuchalber-hof.de;1,5 km;0 Hm
2;Bad Überkingen;Wasserberghaus;;;;;07161 811562;wasserberghaus.de;direkt;
2;Auendorf;Hotel Restaurant Talblick;;;;Ditzenbacher Str. 85;07334 921230;talblick-auendorf.de;2 km;96 Hm
2;Bad Ditzenbach;Vitalhotel Sanct Bernhard;;;;Sonnenbühl 1;07334 96410;vitalhotel-sanct-bernhard.de;1,6 km;14 Hm
2;Gammelshausen;Gästezimmer Cavallino;;;;Hauptstraße 25;07164 147237;cavallino-gammelshausen.de;1,5 km;118 Hm
2;Gruibingen;Kornberghütte;;;;Kornberg 1;0157 56991064;kornberghuette.de;1,8 km;110 Hm
2;Gruibingen;Naturfreundehaus Boßlerhaus;;;;am Boßler;07164 9150571;naturfreunde-gp.de;1,5 km;30 Hm
2;Gruibingen;Weilheimer Skihütte;;;;;07023 3584;tsv-weilheim.de;direkt;
2;Gruibingen;Campingplatz Gruibingen, Winkelbachtal;;;X;Campingplatz 1;07161 42354;winkelbachtal.de;2,3 km;146 Hm
2;Weilheim an der Teck;Deutsches Haus;;X;;Kaltenwanghof 1;07023 740098;deutsches-haus-weilheim.de;2,1 km;24 Hm
3;Wiesensteig;Albhotel Malakoff;;;;Malakoffstraße 21;07335 9245090;albhotel-malakoff.com;direkt;
3;Owen;Burg Teck / Wanderheim des SAV;;;;Teckstrasse 100;07021  55208;burg-teck-alb.de;2,2 km;190 Hm
3;Owen;Bellerhof - Whiskey und  Unterkunft;;;;Berghof 1a;07021 51892;dannes.de;direkt;
3;Owen;Apartmenthaus Däschler;;;;Brühlstr. 12;07021 9820252;apartmenthaus-daeschler.de;direkt;
3;Beuren;Hotel-Restaurant Beurener Hof;;;;Hohenneuffenstr. 16;07025 91011 0;beurener-hof.de;direkt;
3;Beuren;Hotel Garni Schwanen;;;;Kelterstr. 6;07025 2290;;direkt;
3;Beuren;Pension Schönblick;;;;Drosselweg 12;07025 3592;pensionschoenblick.de;direkt;
3;Beuren;Gästehaus Lichterturm;;;;Löwenstr. 1;07025 843955;gaestehaus-lichterturm-beuren.de;direkt;
3;Beuren;Wohnmobilstellplatz;;;X;Am Thermalbad 5;07025 910500;beuren.de;direkt;
3;Neuffen;Hotel Garni Hartmann;;;;Oberer Graben 2a;07025 2754;hotel-garni-hartmann.de;1,9 km;143 Hm
3;Neuffen;Hotel Traube;;X;;Hauptstr. 24;07025 92090;traube-neuffen.de;1,8 km;144 Hm
3;Neuffen;Wohnmobilstellplatz;;;X;Schützenhausweg 50;07025 106-0;neuffen.de;2 km;148 Hm
3;Erkenbrechtsweiler;Burrenhof Gastronomie;;;;Burrenhof;07026 7346;erwin-waldner.de/burrenhof;direkt;
3;Bad Urach;Hotel Graf Eberhard;X;X;;Bei den Thermen 2;07125 1480;hotel-graf-eberhard.de;direkt;
3;Bad Urach;Hotel Quellenhof garni;;X;;Bei den Thermen 16-18;07125 15050;quellenhof-badurach.de;direkt;
3;Bad Urach;Bischoffs;X;X;;Pfählerstraße 7;07125 947330;bischoffs-badurach.de;direkt;
3;Bad Urach;Flair Hotel Vier Jahreszeiten;;X;;Stuttgarter Str. 5;07125 94340;flairhotel-vierjahreszeiten.de;direkt;
3;Bad Urach;Jugendherberge Bad Urach;X;;;Seltbachstraße 9;07125 8025;jugendherberge-bad-urach.de;direkt;
3;Bad Urach;Hotel Restaurant Cafe Buck;;X;;Neue Str. 5-7;07125 94940;hotel-buck.de;direkt;
3;Bad Urach;Ferienwohnung Eisele;X;;;Breitensteinstr. 65;07125 70792;ferienwohnung-eisele.de;direkt;
3;Bad Urach;Stift Urach;;;;Bismarckstraße 12;07125 94990;stifturach.de;direkt;
3;Bad Urach;Campingplatz Pfählhof;X;;X;Pfählhof 2;07125 8098;pfaehlhof.de;direkt;
3;Bad Urach;Wohnmobilstellplatz;;;X;Bäderstraße;07125 94320;badurach-tourismus.de;direkt;
4;Reutlingen;City Hotel Fortuna;;X;;Am Echazufer 22;07121 9240;fortuna-hotels.de;1,5 km;22 Hm
4;Reutlingen;Hotel Fortuna Reutlingen / Tübingen;;X;;Carl-Zeiss-Str. 75;07121 5840;fortuna-hotels.de;4,7 km;62 Hm
4;Reutlingen;Hotel & Restaurant Klostermühle;X;;;Neckartenzlinger Str. 90;07127  81170;klostermuehle-reutlingen.de;4 km;50 Hm
4;Reutlingen;Hotel Germania;;;;Unter den Linden 20;07121 31900;germania-hotel.de;3,8 km;34 Hm
4;Reutlingen;Hotel Württemberger Hof;;X;;Bahnhofstr. 12;07121 9479950;hotel-wuerttemberger-hof.de;3,8 km;34 Hm
4;Reutlingen;Achalm Hotel & Restaurant;;;;Achalm (Gewand) 2;07121 4820;achalm.com;3,1 km;111 Hm
4;Reutlingen-Gönningen;Wanderheim Roßberghaus;;;;Roßberg;07072 7007;wanderheim-rossberg.de;1,8 km;192 Hm
4;Reutlingen;Umweltbildungszentrum Listhof;;;;Friedrich-List-Hof 1;07121 270392;listhof-reutlingen.de;direkt;
4;Pfullingen;Hotel Restaurant Klostergarten;;;;Klosterstraße 30;07121 9941-0;klostergarten-pfullingen.de;direkt;
4;Gomaringen;Hotel Arcis;;X;;Bahnhofstraße 10;07072 918-0;hotel-arcis.de;1,3 km;20 Hm
4;Gomaringen;Gästehaus Brigitte;;;;Hohenstaufenstraße 5;07072 920025;gaestehaus-brigitte.de;direkt;
4;Mössingen;Fischers Hotel Garni Brauhaus;;X;;Auf der Lehr 30;07473 9544-0;hotel-garni-moessingen.de;4,1 km;88 Hm
4;Mössingen-Öschingen;Ferienwohnung Haus Bolbergblick;;;;Panoramastr. 1;07473 9509946;moessingen.de;1,1 km;25 Hm
4;Mössingen-Öschingen;Ferienappartment Lehner;;;;Panoramastraße 79;07473  25387;moessingen.de/ferienwohnung;0,1 km;3 Hm
4;Mössingen-Öschingen;Ferienhaus Lotte;;;;Gartenstraße 50;0174 9224616;ferienwohnung-oeschingen.de;0,6 km;10 Hm
4;Mössingen-Öschingen;Villa Lou;;;;Gustav-Schöller-Straße 11;07473  270810;villa-lou.de;0,5 km;16 Hm
4;Lichtenstein;Forellenhof Rössle I Hotel & Restaurant;X;X;;Heerstraße 20;07129 92970;forellenhof-roessle.de;4,0 km;245 Hm
4;Trochtelfingen;Hotel-Restaurant Rössle;X;;;Marktstraße 48;07124 9250;hotel-restaurant-roessle.de;1,1 km;56 Hm
4;Burladingen / Hörschwag;Ferienwohnung Schwäbische Alb;;X;;Schützenstraße 7;0152 29590070;schwaebische-alb-ferienwohnung.de;2,2 km;60 Hm
4;Sonnenbühl-Erpfingen;Romantik Hotel I Restaurant Hirsch;;X;;Im Dorf 12;07128 92910;restaurant-hotel-hirsch.de;direkt;
4;Sonnenbühl-Erpfingen;Jugendherberge Erpfingen;X;;;Auf der Reute 1;07128 1652;jugendherberge-erpfingen.de;direkt;
4;Sonnenbühl-Erpfingen;Ferien- und Erlebnisdorf Sonnenmatte;X;;;Sonnenmatte 51;07128 92990;die-sonnenmatte.de;direkt;
4;Sonnenbühl-Erpfingen;AZUR Rosencamping Schwäbische Alb;;;X;Hardtweg 82;07218 466;azur-camping.de;direkt;
4;Sonnenbühl-Willmandingen;Landhotel Sonnenbühl;;;;Egelsbergstraße 12;07128 92830;landhotel-sonnenbuehl.de;4,0 km;65 Hm
5;Burladingen-Gauselfingen;Hotel Landgasthof Wiesental;;;;Gauzolfstr. 23;07475 953600;hotel-fink-wiesental.de;5,1 km;60 Hm
5;Burladingen;Ferienwohnung mit Hund auf der Zollernalb;;;;Silcherweg 43;07475 4476;landgasthof-lauchertquelle.de;1,2 km;20 Hm
5;Burladingen-Hermansdorf;Älbler-Nest auf Hofgut Küche;X;;;Hof Küche 4;07475 7605;ferienwohnung-hofgut-kueche.de;2,5 km;20 Hm
5;Albstadt-Onstmettingen;Wanderheim Nägelehaus;;;;Raichberg 1;07432 21715;naegelehaus.de;1,5 km;68 Hm
5;Albstadt-Onstmettingen;Berghotel Zollersteighof;;X;;Zollersteighof 1;07432 21840;hotel-restaurant-zollersteighof.de;1,9 km;54 Hm
5;Albstadt-Onstmettingen;Schwabennestle Onstmettingen;;;;Hauptstr. 15-1;0176 72931155;schwabennestle.de;direkt;
5;Albstadt-Pfeffingen;Ferienhaus Am Irrenbächle;;;;Unter Hornau 23;0176 81029016;ferienwohnung-irrenbaechle.de;direkt;
5;Albstadt-Ebingen;Sonnencamping (am badkap);X;;X;Beibruck 54;07431 9370348;sonnencamping.de;6,5 km;100 Hm
5;Balingen;Hotel Thum;;X;;Klausenweg 20;07433 96900;hotel-thum-balingen.de;direkt;
